호출이름,스타일,성별,ID,속도,피치,설명

돈경,General,남성,6sFKzaJr574YWVu4UuJF,0,0,돈경씨 목소리
경유,General,남성,ZJCNdZEjYwkOElxugmW2,0,0,목소리잔잔하고굿
태오,이야기하는느낌굿
hyuk, 목소리굿 WqVy7827vjE2r3jWvbnP
이걸경유로할거임 : bciERhbhQhAIWwvnQA7H

# ==========================================
# [0] 영어 (딱 1쌍)
# ==========================================
레이첼_영어,General,여성,21m00Tcm4TlvDq8ikWAM,0,0,Rachel: 영어 내레이션 표준
레이첼_영어_쇼츠,General,여성,21m00Tcm4TlvDq8ikWAM,+20%,0,[쇼츠용] 영어 1.2배속
아담_영어,General,남성,pNInz6obpgDQGcFmaJgB,0,0,Adam: 영어 남성 뉴스 표준
아담_영어_쇼츠,General,남성,pNInz6obpgDQGcFmaJgB,+20%,0,[쇼츠용] 영어 1.2배속

# ==========================================
# [1] 한국어 - 성인 남성 10종
# ==========================================
아담_뉴스,General,남성,pNInz6obpgDQGcFmaJgB,0,0,아담: 신뢰감 있는 저음 뉴스/다큐 1티어
아담_쇼츠,General,남성,pNInz6obpgDQGcFmaJgB,+20%,0,[쇼츠용] 아담 1.2배속
찰리_친구,General,남성,IKne3meq5aSn9XLyUdCD,0,0,찰리: 자연스러운 대화체/유튜버 느낌
찰리_쇼츠,General,남성,IKne3meq5aSn9XLyUdCD,+20%,0,[쇼츠용] 찰리 1.2배속
조쉬_감성,General,남성,TxGEqnHWrfWFTfGW9XjX,0,0,조쉬: 부드러운 스토리텔링/영화리뷰
조쉬_쇼츠,General,남성,TxGEqnHWrfWFTfGW9XjX,+20%,0,[쇼츠용] 조쉬 1.2배속
안토니_파워,General,남성,ErXwobaYiN019PkySvjV,0,0,안토니: 굵고 힘 있는 목소리/광고
안토니_쇼츠,General,남성,ErXwobaYiN019PkySvjV,+20%,0,[쇼츠용] 안토니 1.2배속
드류_진지,General,남성,29vD33N1CtxCmqQRPOHJ,0,0,드류: 날카롭고 이지적인 뉴스 톤
드류_쇼츠,General,남성,29vD33N1CtxCmqQRPOHJ,+20%,0,[쇼츠용] 드류 1.2배속
샘_학생,General,남성,yoZ06aMxZJJ28mfd3POQ,0,0,샘: 모범생 스타일의 단정한 청년
샘_쇼츠,General,남성,yoZ06aMxZJJ28mfd3POQ,+20%,0,[쇼츠용] 샘 1.2배속
데이브_아재,General,남성,CYw3kZ02Hs0563khs1Fj,0,0,데이브: 털털한 동네 아저씨 톤
데이브_쇼츠,General,남성,CYw3kZ02Hs0563khs1Fj,+20%,0,[쇼츠용] 데이브 1.2배속
마커스_전문,General,남성,5Q0t7uMcjvnagumLfvZi,0,0,마커스: 중년의 전문직/교수님 톤
마커스_쇼츠,General,남성,5Q0t7uMcjvnagumLfvZi,+20%,0,[쇼츠용] 마커스 1.2배속
패트릭_묵직,General,남성,ODq5zmih8GrVes37Dizd,0,0,패트릭: 아주 굵은 저음/영화 예고편
패트릭_쇼츠,General,남성,ODq5zmih8GrVes37Dizd,+20%,0,[쇼츠용] 패트릭 1.2배속
빌_거친,General,남성,pqHfZKP75CvOlQylNhV4,0,0,빌: 약간 거친 현장 리포터 느낌
빌_쇼츠,General,남성,pqHfZKP75CvOlQylNhV4,+20%,0,[쇼츠용] 빌 1.2배속

# ==========================================
# [2] 한국어 - 성인 여성 10종
# ==========================================
레이첼_낭독,General,여성,21m00Tcm4TlvDq8ikWAM,0,0,레이첼: 차분한 낭독/오디오북 1티어
레이첼_쇼츠,General,여성,21m00Tcm4TlvDq8ikWAM,+20%,0,[쇼츠용] 레이첼 1.2배속
에밀리_뉴스,General,여성,LcfcDJNUP1GQjkzn1xUU,0,0,에밀리: 또렷한 뉴스 앵커
에밀리_쇼츠,General,여성,LcfcDJNUP1GQjkzn1xUU,+20%,0,[쇼츠용] 에밀리 1.2배속
니콜_속삭,General,여성,piTKgcLEGmPE4e6mEKli,0,0,니콜: ASMR/새벽 감성/속삭임
니콜_쇼츠,General,여성,piTKgcLEGmPE4e6mEKli,+20%,0,[쇼츠용] 니콜 1.2배속
글린다_연기,General,여성,z9fAnlkpzviPz146aGWa,0,0,글린다: 뮤지컬 톤/드라마틱한 연기
글린다_쇼츠,General,여성,z9fAnlkpzviPz146aGWa,+20%,0,[쇼츠용] 글린다 1.2배속
벨라_강함,General,여성,EXAVITQu4vr4xnSDxMaL,0,0,벨라: 허스키하고 강한 여성/여전사
벨라_쇼츠,General,여성,EXAVITQu4vr4xnSDxMaL,+20%,0,[쇼츠용] 벨라 1.2배속
샤롯_우아,General,여성,XB0fDUnXU5powFXDhCwa,0,0,샤롯: 귀부인 같은 우아하고 세련된 톤
샤롯_쇼츠,General,여성,XB0fDUnXU5powFXDhCwa,+20%,0,[쇼츠용] 샤롯 1.2배속
